pid,qid,query,cost,time
testWindowInParenthesis,input-1,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",43480.43,870.9925000000001
testWindowInParenthesis,LR-1,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",43480.43,890.4175
testWindowInParenthesis,input-2,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",43480.43,882.8305
testWindowInParenthesis,LR-2,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",43480.43,889.213
testPushAggregateThroughJoinOnEmptyLogicalValues,input-1,"SELECT COUNT(*) AS ""VOLUME"", SUM(""t0"".""SAL"") AS ""C1_SUM_SAL"" FROM (SELECT ""SAL"", ""ENAME"" FROM ""EMP"" WHERE 1 = 2) AS ""t0"" INNER JOIN (SELECT ""ENAME"" FROM ""EMP"") AS ""t1"" ON ""t0"".""ENAME"" = ""t1"".""ENAME""",0.01,0.5814999999999999
testIntersectToDistinct,input-1,"SELECT * FROM (SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 10 INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 20) AS ""t"" INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 30",49175.0,422.293
testIntersectToDistinct,SC-1,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"", ""DEPTNO"" FROM ((VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL))) AS ""T_cte_empty""(""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"", ""DEPTNO"") WHERE 1 = 0",0.01,0.489
testIntersectToDistinct,LR-1,"SELECT * FROM (SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 10 INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 20) AS ""T"" INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 30",49175.0,417.30499999999995
testIntersectToDistinct,input-2,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" FROM (SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 10 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 20 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 30 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"") AS ""t16"" GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" HAVING COUNT(*) = 3",49195.92,468.04449999999997
testIntersectToDistinct,SC-2,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" FROM ((VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL))) AS ""T_cte_empty""(""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"") WHERE 1 = 0",0.01,0.32799999999999996
testIntersectToDistinct,LR-2,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" FROM (SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""F9"" FROM (SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", 10 AS ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""F9"" FROM ""EMP"" WHERE ""DEPTNO"" = 10 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", 20 AS ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""F9"" FROM ""EMP"" WHERE ""DEPTNO"" = 20 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"") AS ""T1234"" GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", 30 AS ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""F9"" FROM (SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"", COUNT(*) AS ""F9"" FROM ""EMP"" WHERE ""DEPTNO"" = 30 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"") AS ""T1237"" GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"") AS ""T1240"" GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" HAVING COALESCE(SUM(""F9""), 0) = 3",49214.62,603.7175
testEmptyProject2,input-1,"SELECT ""X"" + ""Y"" + ""X"" FROM (VALUES (10, 1), (30, 3)) AS ""t"" (""X"", ""Y"") WHERE ""X"" + ""Y"" > 50",0.04,0.8185
testEmptyProject2,SC-1,"SELECT tmp0 FROM ((VALUES (NULL))) AS ""T_cte_empty""(tmp0) WHERE 1 = 0",0.01,0.32199999999999995
testEmptyProject2,LR-1,"SELECT ""X"" + ""Y"" + ""X"" FROM (VALUES (10, 1), (30, 3)) AS ""T2501"" (""X"", ""Y"") WHERE ""X"" + ""Y"" > 50",0.04,0.601
testEmptyProject2,input-2,"SELECT * FROM (VALUES (NULL)) AS ""t"" (""EXPR$0"") WHERE 1 = 0",0.01,0.3045
testEmptyProject2,LR-2,"SELECT * FROM (VALUES (NULL)) AS ""T"" (""EXPR0"") WHERE 1 = 0",0.01,0.4265
testSemiJoinProjectTranspose,input-1,"SELECT ""NAME"" FROM ""DEPT"" WHERE EXISTS (SELECT 1 FROM (SELECT 2 * ""DEPTNO"" AS ""$f0"" FROM ""DEPT"" GROUP BY 2 * ""DEPTNO"") AS ""t0"" WHERE ""DEPT"".""DEPTNO"" = ""t0"".""$f0"")",736.26,11.616
testSemiJoinProjectTranspose,input-2,"SELECT ""NAME"" FROM (SELECT ""DEPTNO"", ""NAME"" FROM ""DEPT"" WHERE EXISTS (SELECT 1 FROM (SELECT 2 * ""DEPTNO"" AS ""$f0"" FROM ""DEPT"" GROUP BY 2 * ""DEPTNO"") AS ""t5"" WHERE ""DEPTNO"" = ""t5"".""$f0"")) AS ""t2""",736.26,11.142
testEmptyFilterProjectUnion,input-1,"SELECT * FROM (SELECT * FROM (VALUES (10, 1), (30, 3)) AS ""t"" (""X"", ""Y"") UNION ALL SELECT * FROM (VALUES (20, 2)) AS ""t"" (""EXPR$0"", ""EXPR$1"")) AS ""t3"" WHERE ""X"" + ""Y"" > 30",0.03,0.27049999999999996
testEmptyFilterProjectUnion,LR-1,"SELECT * FROM (VALUES (10, 1), (30, 3)) AS ""T3439"" (""X"", ""Y"") WHERE ""X"" + ""Y"" > 30 UNION ALL SELECT * FROM (VALUES (20, 2)) AS ""T3441"" (""EXPR0"", ""EXPR1"") WHERE ""EXPR0"" + ""EXPR1"" > 30",0.07,0.5145
testEmptyFilterProjectUnion,input-2,"SELECT * FROM (VALUES (30, 3)) AS ""t"" (""X"", ""Y"")",0.01,0.825
testEmptyFilterProjectUnion,LR-2,"SELECT * FROM (VALUES (30, 3)) AS ""T"" (""X"", ""Y"")",0.01,0.524
testExistsWithNoRowSubQuery,input-1,"SELECT * FROM ""DEPT"" WHERE NOT EXISTS (SELECT * FROM (VALUES (NULL)) AS ""t"" (""EXPR$0"") WHERE 1 = 0)",155.01,3.1975
testExistsWithNoRowSubQuery,input-2,"SELECT * FROM ""DEPT""",155.0,3.0324999999999998
testExistsWithNoRowSubQuery,LR-2,"SELECT * FROM ""DEPT""",155.0,2.8674999999999997
testSortProjectTranspose1,input-1,"SELECT ""DEPTNO"", ""DEPTNO"" FROM ""DEPT"" ORDER BY 2 OFFSET 1 ROWS",270.29,4.912
testSortProjectTranspose1,LR-1,"SELECT ""DEPTNO"", ""DEPTNO"" AS ""DEPTNO0"" FROM ""DEPT"" ORDER BY ""DEPTNO"" OFFSET 1 ROWS",270.29,4.673
testSortProjectTranspose1,input-2,"SELECT ""DEPTNO"", ""DEPTNO"" FROM ""DEPT"" ORDER BY ""DEPTNO"" OFFSET 1 ROWS",270.29,5.2265
testSortProjectTranspose2,input-1,"SELECT ""DEPTNO"", CAST(""DEPTNO"" AS DOUBLE PRECISION) FROM ""DEPT"" ORDER BY CAST(""DEPTNO"" AS DOUBLE PRECISION) OFFSET 1 ROWS",869.39,5.5045
testLeftEmptyLeftJoin,input-1,"SELECT * FROM (SELECT * FROM ""EMP"" WHERE FALSE) AS ""t0"" LEFT JOIN ""DEPT"" ON ""t0"".""DEPTNO"" = ""DEPT"".""DEPTNO""",0.0,0.747
testLeftEmptyLeftJoin,input-2,"SELECT * FROM (VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL)) AS ""t"" (""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", ""DEPTNO0"", ""NAME"") WHERE 1 = 0",0.01,0.406
testLeftEmptyLeftJoin,LR-2,"SELECT * FROM (VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL)) AS ""T"" (""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", ""DEPTNO0"", ""NAME"") WHERE 1 = 0",0.01,0.27349999999999997
testPullNull,input-1,"SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 7 AND ""EMPNO"" = 10 AND ""MGR"" IS NULL AND ""EMPNO"" = 10",8.45,1.7400000000000002
testPullNull,input-2,"SELECT 10 AS ""EMPNO"", ""ENAME"", ""JOB"", CAST(NULL AS INTEGER) AS ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", 7 AS ""DEPTNO"", ""SLACKER"" FROM ""EMP"" WHERE ""DEPTNO"" = 7 AND ""EMPNO"" = 10 AND ""MGR"" IS NULL",8.45,1.0594999999999999
testReduceCastAndConsts,input-1,"SELECT * FROM ""EMP"" WHERE CAST(""EMPNO"" + 10 / 2 AS INTEGER) = 13",17918.0,228.0215
testReduceCastAndConsts,LR-1,"SELECT * FROM ""EMP"" WHERE ""EMPNO"" + 10 / 2 = 13",17918.0,243.877
testReduceCastAndConsts,input-2,"SELECT * FROM ""EMP"" WHERE ""EMPNO"" + 5 = 13",17918.0,255.207
testReduceCastAndConsts,LR-2,"SELECT * FROM ""EMP"" WHERE ""EMPNO"" + 5 = 13",17918.0,290.149
testAggregateCaseToFilter,input-1,"SELECT SUM(""SAL"") AS ""SUM_SAL"", COUNT(DISTINCT CASE WHEN ""JOB"" = 'CLERK' THEN ""DEPTNO"" ELSE NULL END) AS ""COUNT_DISTINCT_CLERK"", SUM(CASE WHEN ""DEPTNO"" = 10 THEN ""SAL"" ELSE NULL END) AS ""SUM_SAL_D10"", SUM(CASE WHEN ""DEPTNO"" = 20 THEN ""SAL"" ELSE 0 END) AS ""SUM_SAL_D20"", SUM(CASE WHEN ""DEPTNO"" = 30 THEN 1 ELSE 0 END) AS ""COUNT_D30"", COUNT(CASE WHEN ""DEPTNO"" = 40 THEN 'x' ELSE NULL END) AS ""COUNT_D40"", SUM(CASE WHEN ""DEPTNO"" = 45 THEN 1 ELSE NULL END) AS ""COUNT_D45"", SUM(CASE WHEN ""DEPTNO"" = 50 THEN 1 ELSE NULL END) AS ""COUNT_D50"", SUM(CAST(NULL AS DECIMAL(19, 9))) AS ""SUM_NULL_D60"", SUM(CASE WHEN ""DEPTNO"" = 70 THEN NULL ELSE 1 END) AS ""SUM_NULL_D70"", COUNT(CASE WHEN ""DEPTNO"" = 20 THEN 1 ELSE NULL END) AS ""COUNT_D20"" FROM ""EMP""",70168.01,430.832
testAggregateCaseToFilter,LR-1,"SELECT SUM(""SAL"") AS ""SUM_SAL"", COUNT(DISTINCT CASE WHEN ""JOB"" = 'CLERK' THEN ""DEPTNO"" ELSE NULL END) AS ""COUNT_DISTINCT_CLERK"", SUM(CASE WHEN ""DEPTNO"" = 10 THEN ""SAL"" ELSE NULL END) AS ""SUM_SAL_D10"", SUM(CASE WHEN ""DEPTNO"" = 20 THEN ""SAL"" ELSE 0 END) AS ""SUM_SAL_D20"", SUM(CASE WHEN ""DEPTNO"" = 30 THEN 1 ELSE 0 END) AS ""COUNT_D30"", COUNT(CASE WHEN ""DEPTNO"" = 40 THEN 'X' ELSE NULL END) AS ""COUNT_D40"", SUM(CASE WHEN ""DEPTNO"" = 45 THEN 1 ELSE NULL END) AS ""COUNT_D45"", SUM(CASE WHEN ""DEPTNO"" = 50 THEN 1 ELSE NULL END) AS ""COUNT_D50"", SUM(CAST(NULL AS DECIMAL(19, 9))) AS ""SUM_NULL_D60"", SUM(CASE WHEN ""DEPTNO"" = 70 THEN NULL ELSE 1 END) AS ""SUM_NULL_D70"", COUNT(CASE WHEN ""DEPTNO"" = 20 THEN 1 ELSE NULL END) AS ""COUNT_D20"" FROM ""EMP""",70168.01,423.2235
testAggregateCaseToFilter,input-2,"SELECT SUM(""SAL"") AS ""SUM_SAL"", COUNT(DISTINCT ""DEPTNO"") FILTER (WHERE ""JOB"" = 'CLERK') AS ""COUNT_DISTINCT_CLERK"", SUM(""SAL"") FILTER (WHERE ""DEPTNO"" = 10) AS ""SUM_SAL_D10"", SUM(""SAL"") FILTER (WHERE ""DEPTNO"" = 20) AS ""SUM_SAL_D20"", CAST(COUNT(*) FILTER (WHERE ""DEPTNO"" = 30) AS INTEGER) AS ""COUNT_D30"", COUNT(*) FILTER (WHERE ""DEPTNO"" = 40) AS ""COUNT_D40"", SUM(1) FILTER (WHERE ""DEPTNO"" = 45) AS ""COUNT_D45"", SUM(1) FILTER (WHERE ""DEPTNO"" = 50) AS ""COUNT_D50"", SUM(CAST(NULL AS DECIMAL(19, 9))) AS ""SUM_NULL_D60"", SUM(1) FILTER (WHERE ""DEPTNO"" <> 70) AS ""SUM_NULL_D70"", COUNT(*) FILTER (WHERE ""DEPTNO"" = 20) AS ""COUNT_D20"" FROM ""EMP""",70168.01,339.153
testAggregateCaseToFilter,LR-2,"SELECT SUM(""SAL"") AS ""SUM_SAL"", COUNT(DISTINCT ""DEPTNO"") FILTER (WHERE ""JOB"" = 'CLERK') AS ""COUNT_DISTINCT_CLERK"", SUM(""SAL"") FILTER (WHERE ""DEPTNO"" = 10) AS ""SUM_SAL_D10"", SUM(""SAL"") FILTER (WHERE ""DEPTNO"" = 20) AS ""SUM_SAL_D20"", CAST(COUNT(*) FILTER (WHERE ""DEPTNO"" = 30) AS INTEGER) AS ""COUNT_D30"", COUNT(*) FILTER (WHERE ""DEPTNO"" = 40) AS ""COUNT_D40"", SUM(1) FILTER (WHERE ""DEPTNO"" = 45) AS ""COUNT_D45"", SUM(1) FILTER (WHERE ""DEPTNO"" = 50) AS ""COUNT_D50"", SUM(CAST(NULL AS DECIMAL(19, 9))) AS ""SUM_NULL_D60"", SUM(1) FILTER (WHERE ""DEPTNO"" <> 70) AS ""SUM_NULL_D70"", COUNT(*) FILTER (WHERE ""DEPTNO"" = 20) AS ""COUNT_D20"" FROM ""EMP""",70168.01,361.342
testPushCountNullableThroughUnion,input-1,"SELECT ""ENAME"", COUNT(""MGR"") FROM (SELECT * FROM ""EMP"" UNION ALL SELECT * FROM ""EMP"") AS ""t1"" GROUP BY ""ENAME""",38063.01,800.1105
testPushCountNullableThroughUnion,input-2,"SELECT ""ENAME"", COALESCE(SUM(""EXPR$1""), 0) FROM (SELECT ""ENAME"", COUNT(""MGR"") AS ""EXPR$1"" FROM ""EMP"" GROUP BY ""ENAME"" UNION ALL SELECT ""ENAME"", COUNT(""MGR"") AS ""EXPR$1"" FROM ""EMP"" GROUP BY ""ENAME"") AS ""t8"" GROUP BY ""ENAME""",26512.86,835.6379999999999
testReduceCase,input-1,"SELECT CASE WHEN FALSE THEN 2.1 ELSE 1 END AS ""NEWCOL"" FROM ""EMP""",20168.0,214.788
testReduceCase,LR-1,"SELECT CASE WHEN FALSE THEN 2.1 ELSE 1 END AS ""NEWCOL"" FROM ""EMP""",20168.0,276.124
testReduceCase,input-2,"SELECT 1 AS ""NEWCOL"" FROM ""EMP""",20168.0,220.053
testReduceCase,LR-2,"SELECT 1 AS ""NEWCOL"" FROM ""EMP""",20168.0,235.788
testEmptyAggregateEmptyKeyWithAggregateValuesRule,input-1,"SELECT COUNT(*), SUM(""EMPNO"") FROM ""EMP"" WHERE FALSE",0.01,1.366
testEmptyAggregateEmptyKeyWithAggregateValuesRule,LR-1,"SELECT * FROM (VALUES (0, NULL)) AS ""T"" (""EXPR0"", ""EXPR1"")",0.01,0.5840000000000001
testEmptyAggregateEmptyKeyWithAggregateValuesRule,input-2,"SELECT * FROM (VALUES (0, NULL)) AS ""t"" (""EXPR$0"", ""EXPR$1"")",0.01,0.5415000000000001
testEmptyAggregateEmptyKeyWithAggregateValuesRule,LR-2,"SELECT * FROM (VALUES (0, NULL)) AS ""T"" (""EXPR0"", ""EXPR1"")",0.01,0.4575
testSemiJoinRuleWithJoinOnUniqueInputWithAlias,input-1,"SELECT ""t"".""DEPTNO"" AS ""DEPARTMENT_ID"", ""t"".""SAL"" AS ""SALARY"" FROM (SELECT ""SAL"", ""DEPTNO"" FROM ""EMP"") AS ""t"" INNER JOIN (SELECT ""DEPTNO"" FROM ""DEPT"") AS ""t0"" ON ""t"".""DEPTNO"" = ""t0"".""DEPTNO""",23074.11,413.594
testSemiJoinRuleWithJoinOnUniqueInputWithAlias,LR-1,"SELECT ""T"".""DEPTNO"" AS ""DEPARTMENT_ID"", ""T"".""SAL"" AS ""SALARY"" FROM (SELECT ""SAL"", ""DEPTNO"" FROM ""EMP"") AS ""T"" INNER JOIN (SELECT ""DEPTNO"" FROM ""DEPT"") AS ""T0"" ON ""T"".""DEPTNO"" = ""T0"".""DEPTNO""",23074.11,411.29949999999997
testSemiJoinRuleWithJoinOnUniqueInputWithAlias,input-2,"SELECT ""DEPTNO"" AS ""DEPARTMENT_ID"", ""SAL"" AS ""SALARY"" FROM (SELECT ""SAL"", ""DEPTNO"" FROM ""EMP"" WHERE EXISTS (SELECT 1 FROM (SELECT ""DEPTNO"" FROM ""DEPT"") AS ""t3"" WHERE ""DEPTNO"" = ""t3"".""DEPTNO"")) AS ""t2""",20168.02,311.3645
testSemiJoinRuleWithJoinOnUniqueInputWithAlias,WT-2,"SELECT ""EMP"".""DEPTNO"" AS ""DEPARTMENT_ID"", ""EMP"".""SAL"" AS ""SALARY"" FROM ""EMP"" AS ""EMP"" WHERE EXISTS (SELECT 1 FROM ""DEPT"" AS ""DEPT"" WHERE ""DEPT"".""DEPTNO"" = ""DEPT"".""DEPTNO"")",20168.02,342.121
testPullConstantThroughAggregateAllConst,input-1,"SELECT ""t"".""EXPR$0"", 2 + 3 AS ""$f1"", MAX(""t"".""FIVE"") FROM ""EMP"", (VALUES (4, 5)) AS ""t"" (""EXPR$0"", ""FIVE"") GROUP BY ""t"".""EXPR$0"", 2 + 3",18459.9,340.227
testPullConstantThroughAggregateAllConst,SC-1,"SELECT ""t"".""EXPR$0"", 2 + 3 AS ""$f1"", MAX(""t"".""FIVE"") FROM (VALUES (4, 5)) AS ""t"" (""EXPR$0"", ""FIVE"") GROUP BY ""t"".""EXPR$0""",0.03,0.798
testPullConstantThroughAggregateAllConst,LR-1,"SELECT ""T5827"".""EXPR0"", 2 + 3 AS ""F1"", ""T5827"".""FIVE"" FROM (SELECT FROM ""EMP"" GROUP BY ()) AS ""T5826"", (VALUES (4, 5)) AS ""T5827"" (""EXPR0"", ""FIVE"")",0.02,0.252
testPullConstantThroughAggregateAllConst,input-2,"SELECT ""t2"".""EXPR$0"", 2 + 3, MAX(""t2"".""FIVE"") FROM ""EMP"" AS ""EMP0"", (VALUES (4, 5)) AS ""t2"" (""EXPR$0"", ""FIVE"") GROUP BY ""t2"".""EXPR$0""",17418.23,331.7865
testPullConstantThroughAggregateAllConst,SC-2,"SELECT ""t2"".""EXPR$0"", 2 + 3, MAX(""t2"".""FIVE"") FROM (VALUES (4, 5)) AS ""t2"" (""EXPR$0"", ""FIVE"") GROUP BY ""t2"".""EXPR$0""",0.03,0.7525
testPullConstantThroughAggregateAllConst,LR-2,"SELECT ""T6027"".""EXPR0"", 2 + 3, ""T6027"".""FIVE"" FROM (SELECT FROM ""EMP"" GROUP BY ()) AS ""T6026"", (VALUES (4, 5)) AS ""T6027"" (""EXPR0"", ""FIVE"")",0.02,0.4215
