pid,qid,query,cost,time
testWindowInParenthesis,input-1,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",10873.42,221.2995
testWindowInParenthesis,LR-1,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",10873.42,223.995
testWindowInParenthesis,input-2,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",10873.42,222.672
testWindowInParenthesis,LR-2,"SELECT COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW), COUNT(*) OVER (PARTITION BY ""EMPNO"" ORDER BY ""EMPNO"" RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM ""EMP""",10873.42,225.714
testPushAggregateThroughJoinOnEmptyLogicalValues,input-1,"SELECT COUNT(*) AS ""VOLUME"", SUM(""t0"".""SAL"") AS ""C1_SUM_SAL"" FROM (SELECT ""SAL"", ""ENAME"" FROM ""EMP"" WHERE 1 = 2) AS ""t0"" INNER JOIN (SELECT ""ENAME"" FROM ""EMP"") AS ""t1"" ON ""t0"".""ENAME"" = ""t1"".""ENAME""",0.01,1.1475
testIntersectToDistinct,input-1,"SELECT * FROM (SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 10 INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 20) AS ""t"" INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 30",15883.25,109.05250000000001
testIntersectToDistinct,SC-1,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"", ""DEPTNO"" FROM ((VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL))) AS ""T_cte_empty""(""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""SLACKER"", ""DEPTNO"") WHERE 1 = 0",0.01,0.327
testIntersectToDistinct,LR-1,"SELECT * FROM (SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 10 INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 20) AS ""T"" INTERSECT SELECT * FROM ""EMP"" WHERE ""DEPTNO"" = 30",15883.25,100.1665
testIntersectToDistinct,input-2,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" FROM (SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 10 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 20 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" UNION ALL SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"", COUNT(*) AS ""$f9"" FROM ""EMP"" WHERE ""DEPTNO"" = 30 GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"") AS ""t16"" GROUP BY ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" HAVING COUNT(*) = 3",15896.96,112.753
testIntersectToDistinct,SC-2,"SELECT ""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"" FROM ((VALUES (NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL))) AS ""T_cte_empty""(""EMPNO"", ""ENAME"", ""JOB"", ""MGR"", ""HIREDATE"", ""SAL"", ""COMM"", ""DEPTNO"", ""SLACKER"") WHERE 1 = 0",0.01,0.48749999999999993
