pid,qid,query,cost,time
181,input-1,select a.name as employee from employee as a join employee as b on a.managerid = b.id where a.salary > b.salary,6740.5,65.012
181,LR-1,select employee167.name as employee from employee as employee167 inner join employee as employee168 on employee167.managerid = employee168.id and employee167.salary > employee168.salary,6740.5,65.08099999999999
181,input-4,select a.name as employee from employee as a join employee as b on (a.managerid = b.id and a.salary > b.salary),6740.5,66.5925
181,LR-4,select a.name as employee from employee as a join employee as b on (a.managerid = b.id and a.salary > b.salary),6740.5,65.375
181,input-11,select e.name as employee from employee as e join employee as b on e.managerid = b.id where e.salary > b.salary,6740.5,65.2295
181,LR-11,select employee1025.name as employee from employee as employee1025 inner join employee as employee1026 on employee1025.managerid = employee1026.id and employee1025.salary > employee1026.salary,6740.5,65.872
181,input-12,select e.name as employee from employee as e join employee as m on e.managerid = m.id where e.salary > m.salary,6740.5,65.11
181,LR-12,select employee1111.name as employee from employee as employee1111 inner join employee as employee1112 on employee1111.managerid = employee1112.id and employee1111.salary > employee1112.salary,6740.5,65.4305
181,input-19,select e1.name as employee from employee as e1 join employee as e2 on (e1.managerid = e2.id and e1.salary > e2.salary),6740.5,65.13
181,LR-19,select e1.name as employee from employee as e1 join employee as e2 on (e1.managerid = e2.id and e1.salary > e2.salary),6740.5,65.16
181,input-22,select e1.name as employee from employee as e1 join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,66.733
181,LR-22,select employee2007.name as employee from employee as employee2007 inner join employee as employee2008 on employee2007.managerid = employee2008.id and employee2007.salary > employee2008.salary,6740.5,65.2125
181,input-26,select e1.name as employee from employee as e1 join employee as e2 on (e2.id = e1.managerid and e1.salary > e2.salary),6740.5,66.397
181,LR-26,select e1.name as employee from employee as e1 join employee as e2 on (e2.id = e1.managerid and e1.salary > e2.salary),6740.5,64.055
181,input-28,select e1.name as employee from employee as e1 left outer join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,65.017
181,WT-28,select e1.name as employee from employee as e1 inner join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,67.7315
181,LR-28,select employee2519.name as employee from employee as employee2519 inner join employee as employee2520 on employee2519.managerid = employee2520.id and employee2519.salary > employee2520.salary,6740.5,65.453
181,input-29,select e1.name as employee from employee as e1 right outer join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,66.9405
181,WT-29,select e1.name as employee from employee as e2 inner join employee as e1 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,64.81700000000001
181,LR-29,select cast(employee2605.name as varchar) as employee from employee as employee2605 inner join employee as employee2606 on employee2605.managerid = employee2606.id and employee2605.salary > employee2606.salary,6740.5,65.19200000000001
181,input-31,select e2.name as employee from employee as e1 join employee as e2 on (e2.managerid = e1.id and e2.salary > e1.salary),6740.5,64.719
181,LR-31,select e2.name as employee from employee as e1 join employee as e2 on (e2.managerid = e1.id and e2.salary > e1.salary),6740.5,64.297
181,input-33,select e2.name as employee from employee as e1 join employee as e2 on e2.managerid = e1.id where e1.salary < e2.salary,6740.5,65.19149999999999
181,LR-33,select employee2948.name as employee from employee as employee2947 inner join employee as employee2948 on employee2947.id = employee2948.managerid and employee2947.salary < employee2948.salary,6740.5,67.0095
181,input-35,select emp1.name as employee from employee as emp1 join employee as emp2 on emp1.managerid = emp2.id where emp1.salary > emp2.salary,6740.5,64.956
181,LR-35,select employee3119.name as employee from employee as employee3119 inner join employee as employee3120 on employee3119.managerid = employee3120.id and employee3119.salary > employee3120.salary,6740.5,64.951
181,input-37,"select employee from (select e1.id, e1.name as employee, e1.salary, e2.name as managername, e2.salary as managersalary from employee as e1 left outer join employee as e2 on e1.managerid = e2.id) as new_tab where salary > managersalary",6740.5,66.0215
181,WT-37,select e1.name as employee from employee as e1 left join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,6740.5,64.55099999999999
181,LR-37,select employee3291.name as employee from employee as employee3291 inner join employee as employee3292 on employee3291.managerid = employee3292.id and employee3291.salary > employee3292.salary,6740.5,63.9365
