pid,qid,query,cost,time
181,input-1,select a.name as employee from employee as a join employee as b on a.managerid = b.id where a.salary > b.salary,67399.0,886.654
181,LR-1,select employee167.name as employee from employee as employee167 inner join employee as employee168 on employee167.managerid = employee168.id and employee167.salary > employee168.salary,67399.0,873.606
181,input-4,select a.name as employee from employee as a join employee as b on (a.managerid = b.id and a.salary > b.salary),67399.0,870.481
181,LR-4,select a.name as employee from employee as a join employee as b on (a.managerid = b.id and a.salary > b.salary),67399.0,875.193
181,input-11,select e.name as employee from employee as e join employee as b on e.managerid = b.id where e.salary > b.salary,67399.0,842.546
181,LR-11,select employee1025.name as employee from employee as employee1025 inner join employee as employee1026 on employee1025.managerid = employee1026.id and employee1025.salary > employee1026.salary,67399.0,883.0435
181,input-12,select e.name as employee from employee as e join employee as m on e.managerid = m.id where e.salary > m.salary,67399.0,880.9025
181,LR-12,select employee1111.name as employee from employee as employee1111 inner join employee as employee1112 on employee1111.managerid = employee1112.id and employee1111.salary > employee1112.salary,67399.0,878.723
181,input-19,select e1.name as employee from employee as e1 join employee as e2 on (e1.managerid = e2.id and e1.salary > e2.salary),67399.0,819.9745
181,LR-19,select e1.name as employee from employee as e1 join employee as e2 on (e1.managerid = e2.id and e1.salary > e2.salary),67399.0,865.451
181,input-22,select e1.name as employee from employee as e1 join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,876.943
181,LR-22,select employee2007.name as employee from employee as employee2007 inner join employee as employee2008 on employee2007.managerid = employee2008.id and employee2007.salary > employee2008.salary,67399.0,889.7355
181,input-26,select e1.name as employee from employee as e1 join employee as e2 on (e2.id = e1.managerid and e1.salary > e2.salary),67399.0,869.1265
181,LR-26,select e1.name as employee from employee as e1 join employee as e2 on (e2.id = e1.managerid and e1.salary > e2.salary),67399.0,815.761
181,input-28,select e1.name as employee from employee as e1 left outer join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,828.608
181,WT-28,select e1.name as employee from employee as e1 inner join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,824.0255
181,LR-28,select employee2519.name as employee from employee as employee2519 inner join employee as employee2520 on employee2519.managerid = employee2520.id and employee2519.salary > employee2520.salary,67399.0,884.3145
181,input-29,select e1.name as employee from employee as e1 right outer join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,863.3845
181,WT-29,select e1.name as employee from employee as e2 inner join employee as e1 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,826.4755
181,LR-29,select cast(employee2605.name as varchar) as employee from employee as employee2605 inner join employee as employee2606 on employee2605.managerid = employee2606.id and employee2605.salary > employee2606.salary,67399.0,821.491
181,input-31,select e2.name as employee from employee as e1 join employee as e2 on (e2.managerid = e1.id and e2.salary > e1.salary),67399.0,886.9385
181,LR-31,select e2.name as employee from employee as e1 join employee as e2 on (e2.managerid = e1.id and e2.salary > e1.salary),67399.0,863.156
181,input-33,select e2.name as employee from employee as e1 join employee as e2 on e2.managerid = e1.id where e1.salary < e2.salary,67399.0,894.37
181,LR-33,select employee2948.name as employee from employee as employee2947 inner join employee as employee2948 on employee2947.id = employee2948.managerid and employee2947.salary < employee2948.salary,67399.0,853.133
181,input-35,select emp1.name as employee from employee as emp1 join employee as emp2 on emp1.managerid = emp2.id where emp1.salary > emp2.salary,67399.0,819.746
181,LR-35,select employee3119.name as employee from employee as employee3119 inner join employee as employee3120 on employee3119.managerid = employee3120.id and employee3119.salary > employee3120.salary,67399.0,866.8215
181,input-37,"select employee from (select e1.id, e1.name as employee, e1.salary, e2.name as managername, e2.salary as managersalary from employee as e1 left outer join employee as e2 on e1.managerid = e2.id) as new_tab where salary > managersalary",67399.0,885.126
181,WT-37,select e1.name as employee from employee as e1 left join employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,67399.0,817.4275
